imdbID;title;year;runtime;genre;released;imdbRating;imdbVotes;country
6684;The Fireman;1916;24 min;Short, Comedy;1916-06-12;6,5;1422;USA
6689;The Floorwalker;1916;29 min;Short, Comedy;1916-05-15;6,8;1365;USA
6731;Going Straight;1916;60 min;Crime, Drama;1916-06-04;6,9;504;USA
6745;Gretchen the Greenhorn;1916;58 min;Crime, Drama, Romance;1916-09-03;6,9;405;USA
6753;The Half-Breed;1916;73 min;Western;1916-07-30;6,9;38;USA
6761;The Vultures of the Coast;1915;;Short, Drama;1915-01-01;6,4;30;Sweden
6780;Hell's Hinges;1916;64 min;Romance, Western;1916-03-05;6,4;531;USA
6809;His Picture in the Papers;1916;62 min;Comedy;1916-02-13;6,2;68;USA
6826;Hoodoo Ann;1916;65 min;Comedy, Drama, Romance;1916-03-26;7,1;693;USA
6864;Intolerance: Love's Struggle Throughout the Ages;1916;197 min;Drama, History;1916-09-05;8;9880;USA
6886;Judex;1916;300 min;Adventure, Crime;1917-01-19;6,2;576;France
6895;King Lear;1916;63 min;Drama;1916-12-17;5,9;34;USA
7047;The Matrimaniac;1916;46 min;Comedy, Romance;1916-12-16;7;496;USA
7108;The Mystery of the Leaping Fish;1916;25 min;Comedy, Short;1916-06-11;7;586;USA
7145;One A.M.;1916;24 min;Comedy, Family, Short;1916-08-07;7,3;1964;USA
7162;The Pawnshop;1916;25 min;Comedy, Short;1916-10-02;7,2;1982;USA
7183;The Queen of Spades;1916;63 min;Drama, Fantasy, Horror;1917-11-18;6,3;275;Russia
7194;Police;1916;34 min;Comedy, Short;1916-05-27;6,6;876;USA
7264;The Rink;1916;30 min;Comedy, Short;1916-12-04;7,2;2091;USA
7338;Sherlock Holmes;1916;;Mystery;1916-05-15;5,7;39;USA
7361;Snow White;1916;63 min;Fantasy, Romance;1916-12-25;6,1;259;USA
7476;Triple Trouble;1918;23 min;Comedy, Short;1918-08-11;5,4;608;USA
7507;The Vagabond;1916;34 min;Short, Comedy, Romance;1916-07-10;7;1563;USA
7558;Where Are My Children?;1916;62 min;Drama;1916-05-01;5,9;247;USA
7610;49-'17;1917;61 min;Western;1917-10-15;5,6;135;USA
7610;49-'17;1917;61 min;Western;1917-10-15;5,5;140;USA
